Item,Quantity,Price (USD),Link
Esp32-Cam,1,6.93,https://makerbazar.in/products/esp32-cam-development-board-wifi-bluetooth-with-ov2640-camera-module?variant=38389721858199
BLDC Motor,1,4.69,https://makerbazar.in/products/a2212-high-speed-brushless-dc-motor-bldc?variant=46570640376048
ESC 30A,1,4.04,https://makerbazar.in/products/simonk-30a-bldc-esc-electronic-speed-controller-with-dean-connectors?variant=46849072038128
Servo MG99R,2,-----,Already owned
Battery 2200mAh,1,19.02,https://makerbazar.in/products/high-performance-11-1v-3s1p-lipo-battery?variant=47454607114480
USB to UART,1,1.38,https://makerbazar.in/products/cp21026-pin-usb-2-0-to-ttl-uart-serial-converter?variant=42790917374192
Battery Charger,1,-----,Already owned
Servo Shield,1,2.88,https://makerbazar.in/products/pca9685-16-channel-servo-motor-driver?variant=43866875035888
Shipping,,3.47,
Total,9,42.41,
